Chinese Word,Chinese Sentence,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3,Color
上班,我每天早上八点去公司____。,工作,,,5
工作,这份____很难，但是我学到了很多东西。,上班,,,5
上班,他今天生病了，所以没有去____。,工作,,,5
工作,我的____内容主要是写程序和测试软件。,上班,,,5
上班,她明天不用____，所以可以睡晚一点。,工作,,,5
工作,我最近的____很多，常常要加班。,上班,,,5
上班,我明天早上九点要去公司____。,工作,,,5
工作,他的____很忙，常常没有时间休息。,上班,,,5
上班,妈妈每天坐地铁去____。,工作,,,5
工作,我想找一份离家比较近的____。,上班,,,5
上班,他今天不用____，因为公司放假。,工作,,,5
工作,这份____需要会说中文和英文。,上班,,,5
上班,我早上七点出门，八点半开始____。,工作,,,5
工作,她对现在的____很满意。,上班,,,5
上班,爸爸周末也要____，所以不能陪我出去。,工作,,,5
工作,我的____主要是帮助客户解决问题。,上班,,,5
上班,他每天____之前都会买一杯咖啡。,工作,,,5
工作,这个____听起来很有意思。,上班,,,5
上班,我不想迟到，所以早点去____。,工作,,,5
工作,她换了新的____以后，变得更忙了。,上班,,,5
上班,你几点开始____？,工作,,,5
工作,这不是我的____，你应该问别人。,上班,,,5
上班,下雨的时候，去____很麻烦。,工作,,,5
工作,我今天有很多____要做。,上班,,,5
上班,他刚到公司，就开始____了。,工作,,,5
工作,我希望以后能找到自己喜欢的____。,上班,,,5
发现,我昨天才____原来这个字有两个意思。,觉得,,,5
发现,他打开门以后，____家里没有人。,觉得,,,5
发现,我看完这篇文章，____里面有很多新词。,觉得,,,5
发现,她检查作业的时候，____自己写错了一个字。,觉得,,,5
发现,我走到车站才____自己忘了带手机。,觉得,,,5
觉得,我____这道题不太难。,发现,,,5
觉得,他____今天的天气很舒服。,发现,,,5
觉得,我____这个方法比较适合我。,发现,,,5
觉得,她____中文发音有时候很难。,发现,,,5
觉得,你____这个句子自然吗？,发现,,,5
有点,今天我____累，不想出门。,一点,,,5
有点,这个房间____冷，可以关窗吗？,一点,,,5
有点,我____担心明天的考试。,一点,,,5
有点,他说话太快了，我____听不懂。,一点,,,5
有点,这件衣服____贵，我想再看看。,一点,,,5
一点,请你说慢____，我还听不太懂。,有点,,,5
一点,这个菜不辣，你可以吃____。,有点,,,5
一点,我只会说____中文。,有点,,,5
一点,你能帮我解释____这个句子吗？,有点,,,5
一点,我今天想早____睡觉。,有点,,,5
表达,他不知道怎么____自己的想法。,表示,表现,,5
表达,这篇文章清楚地____了作者的观点。,表示,表现,,5
表达,我想用中文____我的感谢。,表示,表现,,5
表达,她说话很直接，常常把感受____出来。,表示,表现,,5
表达,这个句子可以用更自然的方式____。,表示,表现,,5
表示,他点了点头，____同意。,表达,表现,,5
表示,公司____会继续支持这个项目。,表达,表现,,5
表示,老师对我们的进步____满意。,表达,表现,,5
表示,他用微笑____自己没有生气。,表达,表现,,5
表示,这个符号____“危险”的意思。,表达,表现,,5
表现,他这个月在公司的____很好。,表达,表示,,5
